Match No.,1st Team,2nd Team,Toss Winning,Toss Decision,First Innings Score,Fall of wickets First Innings,Second Innings Score,Fall of wickets Second Innings,Winners,Method,Won by,Winning Margin,Top Scorer,Highest Score,Best Bowler,Best Bowler Figure(Wickets Taken),Best Bowler Figure(Runs Recieved),Player Of The Match
37th,Bangladesh,Nepal,Nepal,Fielding,106,10,85,10,Bangladesh,Normal Match,Runs,21,Kushal Malla,27,Tanzim Hasan Sakib,4,7,Tanzim Hasan Sakib
38th,Sri Lanka,Netherlands,Netherlands,Fielding,201,6,118,10,Sri Lanka,Normal Match,Runs,83,Charith Asalanka,46,Nuwan Thushara,3,24,Charith Asalanka
39th,Papua New Guinea,New Zealand,New Zealand,Fielding,78,10,79,3,New Zealand,Normal Match,Wickets,7,Devon Conway,35,Lockie Ferguson,3,0,Lockie Ferguson
40th,West Indies,Afghanistan,Afghanistan,Fielding,218,5,114,10,West Indies,Normal Match,Runs,104,Nicholas Pooran,98,Obed McCoy,3,14,Nicholas Pooran
41th,South Africa,United State Of America,United State Of America,Fielding,194,4,176,6,South Africa,Normal Match,Runs,18,Quinton de Kock,74,Kagiso Rabada,3,18,Quinton de Kock
42th,West Indies,England,England,Fielding,180,4,181,2,England,Normal Match,Wickets,8,Phil Salt,87,Adil Rashid,1,15,Phil Salt
43th,India,Afghanistan,India,Batting,181,8,134,10,India,Normal Match,Runs,47,Suryakumar Yadav,53,Rashid Khan,3,26,Suryakumar Yadav
44th,Bangladesh,Australia,Australia,Fielding,140,8,100,2,Australia,DLS,Runs,28,David Warner,53,Pat Cummins,3,29,Pat Cummins
45th,South Africa,England,England,Fielding,163,6,156,6,South Africa,Normal Match,Runs,7,Quinton de Kock,65,Jofra Archer,3,40,Quinton de Kock
46th,United State Of America,West Indies,West Indies,Fielding,128,10,130,1,West Indies,Normal Match,Wickets,9,Shai Hope,82,Roston Chase,3,19,Roston Chase
47th,India,Bangladesh,Bangladesh,Fielding,196,5,146,8,India,Normal Match,Runs,50,Hardik Pandya,50,Kuldeep Yadav,3,19,Hardik Pandya
48th,Afghanistan,Australia,Australia,Fielding,148,6,127,10,Afghanistan,Normal Match,Runs,21,Rahmanullah Gurbaz,60,Gulbadin Naib,4,20,Gulbadin Naib
49th,United State Of America,England,England,Fielding,115,10,117,0,England,Normal Match,Wickets,10,Jos Buttler,83,Adil Rashid,2,13,Adil Rashid
50th,West Indies,South Africa,South Africa,Fielding,135,8,124,7,South Africa,DLS,Wickets,3,Roston Chase,52,Tabraiz Shamsi,3,27,Tabraiz Shamsi
51th,India,Australia,Australia,Fielding,205,5,181,7,India,Normal Match,Runs,24,Rohit Sharma,92,Arshdeep Singh,3,37,Rohit Sharma
52th,Afghanistan,Bangladesh,Afghanistan,Batting,115,5,105,10,Afghanistan,DLS,Runs,8,Litton Das,54,Rashid Khan,4,23,Naveen-ul-Haq
53th,Afghanistan,South Africa,Afghanistan,Batting,56,10,60,1,South Africa,Normal Match,Wickets,9,Reeza Hendricks,29,Marco Jansen,3,16,Marco Jansen
54th,India,England,England,Fielding,141,7,103,10,India,Normal Match,Runs,68,Rohit Sharma,57,Axar Patel,3,23,Axar Patel
55th,India,South Africa,India,Batting,176,7,169,8,India,Normal Match,Runs,7,Virat Kohli,76,Hardik Pandya,3,20,Virat Kohli
